id,nombre,tipo,municipio,categoria,costo_estimado,tiempo_horas,nivel_afluencia,lat,lng,foto_url
66,Zona Arqueológica de Yaxchilán,destino,Tenosique,cultura,47,2.0,158,16.901489,-90.967638,
67,Reloj Floral,destino,Tapachula,naturaleza,108,3.8,266,14.889939,-92.264767,
68,nom_parque,destino,Tuxtla Gutierrez,naturaleza,122,2.5,315,16.762058,-93.076549,
69,nom_recinto,destino,Tuxtla Gutierrez,naturaleza,93,3.7,210,16.761065,-93.072054,
70,Cascadas el aguacero,destino,Jiquipilas,cultura,110,2.4,544,16.75458,-93.51837,
71,centro cultural el carmen,destino,San Cristobal de las Casas,eventos,57,2.7,76,16.733656,-92.637976,
72,Museo textiles de mundo maya,destino,San Cristobal de las Casas,cultura,31,1.2,57,16.741677,-92.637475,
73,Mirador Laguna La Cañada,destino,La Independencia,fotografia,46,0.8,566,16.110886,-91.677937,
74,Museo Regional de Chiapas,destino,Tuxtla Gutierrez,cultura,55,1.1,205,16.75994,-93.106783,
75,Museo de Palentología,destino,Tuxtla Gutierrez,cultura,55,1.8,206,16.759372,-93.105907,
76,Museo Sergio Castro,destino,San Cristobal de las Casas,cultura,31,1.2,61,16.736987,-92.641545,
77,Mercado,destino,Comitan de Dominguez,naturaleza,51,2.0,54,16.254372,-92.133864,
78,Arco de Piedra,destino,San Cristobal de las Casas,naturaleza,145,2.6,400,16.724747,-92.583948,
79,Ojo de Agua,destino,La Independencia,fotografia,8,0.6,146,16.108612,-91.44682,
80,Cañón del Sumidero,destino,Chiapa de Corzo,aventura,164,2.8,468,16.743225,-93.035687,
81,La Piedra Sabia,destino,Tuxtla Gutierrez,cultura,97,2.1,459,16.761884,-93.118306,
82,"La Cruz ""Para calmar el cerro""",destino,Tuxtla Gutierrez,cultura,103,1.9,501,16.725738,-93.147522,
83,El mirador,destino,San Cristobal de las Casas,fotografia,25,0.8,331,16.700613,-92.634814,
84,La Ventana,destino,Palenque,cultura,68,2.2,680,17.454695,-92.03195,
85,PARQUE CENTRAL,destino,Berriozabal,naturaleza,101,2.3,237,16.799982,-93.272695,
86,Panteon,destino,Zinacantlan,naturaleza,108,2.6,263,16.764277,-92.733918,
87,trees,destino,Tuxtla Gutierrez,naturaleza,194,2.1,578,16.750802,-93.195541,
88,open grass field,destino,Tuxtla Gutierrez,naturaleza,58,3.7,80,16.751628,-93.196814,
89,open land with some trees,destino,Tuxtla Gutierrez,naturaleza,135,3.5,362,16.749994,-93.195879,
90,Open tree area,destino,Tuxtla Gutierrez,naturaleza,77,3.7,150,16.730864,-93.068284,
91,open tree area,destino,Tuxtla Gutierrez,naturaleza,98,3.5,227,16.779494,-93.137282,
92,Open Tree Area,destino,Tuxtla Gutierrez,naturaleza,88,3.1,192,16.73139,-93.067161,
93,Open Field Area,destino,Tuxtla Gutierrez,naturaleza,140,2.7,382,16.754044,-93.068395,
94,Open Tree,destino,Tuxtla Gutierrez,naturaleza,61,2.1,91,16.736437,-93.089701,
95,Cafemuseo cafe,destino,San Cristobal de las Casas,cultura,77,1.2,339,16.738259,-92.636008,
96,Grutas del Agua,destino,San Cristobal de las Casas,naturaleza,113,2.5,281,16.744498,-92.589793,
97,Huitepec reserva natural,destino,San Juan Chamula,naturaleza,147,3.2,407,16.75999,-92.681056,
98,Galeria Mudra,destino,San Cristobal de las Casas,naturaleza,114,2.2,287,16.7405,-92.634207,
99,Beau Dégât [bo.de.ga],destino,San Cristobal de las Casas,cultura,94,2.5,444,16.735685,-92.638064,
100,Enzué,destino,San Cristobal de las Casas,cultura,115,1.8,572,16.740181,-92.63534,
101,La Galería,destino,San Cristobal de las Casas,cultura,46,1.4,152,16.73622,-92.638154,
102,"La Enseñanza, Casa De La Ciudad",destino,San Cristobal de las Casas,cultura,107,2.0,523,16.738597,-92.635479,
103,La Tozi Galeria Hotel,destino,San Cristobal de las Casas,cultura,36,1.5,87,16.737547,-92.633815,
104,Galería MUY,destino,San Cristobal de las Casas,cultura,67,1.4,281,16.738589,-92.628689,
105,Open Area,destino,Tuxtla Gutierrez,naturaleza,167,3.3,479,16.774715,-93.100037,
106,Alberca,destino,Huehuetan,cultura,100,1.7,483,15.125535,-92.300073,
107,palitroche,destino,Huehuetan,familiar,229,2.0,535,15.127272,-92.300453,
108,Alberto Dominguez B.,destino,San Cristobal de las Casas,cultura,90,1.3,421,16.73412,-92.638147,
109,Cañón antiguo derecho,destino,San Cristobal de las Casas,aventura,60,1.4,239,16.737133,-92.638089,
110,Cañon antiguo izquierdo,destino,San Cristobal de las Casas,aventura,32,1.4,63,16.73681,-92.638094,
111,Cruz de San Francisco,destino,San Cristobal de las Casas,cultura,37,1.4,94,16.734567,-92.63679,
112,Pila antigua de piedra,destino,San Cristobal de las Casas,cultura,52,1.4,190,16.734658,-92.636915,
113,Camping Presa,destino,Arriaga,cultura,80,1.9,356,16.466252,-93.999439,
114,Dr. Faustino Miranda,destino,Tuxtla Gutierrez,naturaleza,165,2.4,471,16.75835,-93.107307,
115,Busto a Vicente Guerrero,destino,San Cristobal de las Casas,cultura,118,2.1,588,16.736899,-92.638731,
116,Busto a Miguel Hidalgo,destino,San Cristobal de las Casas,cultura,112,1.6,554,16.737092,-92.638562,
117,Sirena de PIedra,destino,San Cristobal de las Casas,cultura,68,1.4,287,16.736666,-92.637117,
118,Casa de las Sirenas,destino,San Cristobal de las Casas,cultura,79,1.3,354,16.736435,-92.637122,
119,Chocohuital,destino,Pijijiapan,naturaleza,118,3.4,300,15.602151,-93.33826,
120,Junchivin,destino,Comitan de Dominguez,naturaleza,103,2.0,246,16.305115,-92.185763,
121,Tologue,destino,Palenque,cultura,87,1.3,399,17.502443,-92.003993,
122,Monumento a la madre,destino,Palenque,cultura,40,1.4,114,17.504957,-91.991921,
123,Brisas del Mar,destino,Tapachula,fotografia,10,0.8,161,14.616769,-92.318096,
124,Parque Cireba,destino,Tapachula,naturaleza,117,3.3,297,14.891066,-92.248834,
125,La Chiapaneca,destino,Chiapa de Corzo,cultura,56,1.4,209,16.719307,-93.018574,
126,El Parachico,destino,Chiapa de Corzo,cultura,112,1.6,555,16.719457,-93.018687,
127,Casa Museo Madrigal,destino,Chiapa de Corzo,cultura,79,2.3,354,16.70768,-93.019175,
128,Pilares CFE,destino,Tapachula,cultura,40,2.2,117,14.915359,-92.240647,
129,Pueblo La Palma,destino,Acapetahua,naturaleza,88,2.1,191,15.174245,-92.839182,
130,Pueblo Las Garzas,destino,Acapetahua,naturaleza,111,3.9,274,15.202891,-92.815214,
131,Monumento a Benito Juárez,destino,Tapachula,cultura,56,1.3,209,14.9106,-92.265462,
132,Bancrisa,destino,Tapachula,naturaleza,133,3.9,355,14.891147,-92.269698,
133,Poza tepescuhintle,destino,Mapastepec,naturaleza,189,3.5,559,15.50428,-92.929899,
134,Poza,destino,Mapastepec,naturaleza,180,3.9,529,15.50457,-92.926858,
135,Altar del monstruo de la tierra,destino,Ocosingo,naturaleza,82,3.9,167,16.901756,-92.009381,
136,Entrance Montebello,destino,La Independencia,naturaleza,93,2.1,209,16.103541,-91.734628,
137,Cancha Basquetball,destino,Tapachula,naturaleza,80,3.5,161,14.839584,-92.189906,
138,El puma,destino,Comitan de Dominguez,cultura,111,2.0,546,16.255059,-92.13354,
139,Busto,destino,Comitan de Dominguez,cultura,88,1.1,410,16.252894,-92.134239,
140,Entrada unijab,destino,Tzimol,naturaleza,145,3.8,398,16.137255,-92.188508,
141,Casa Ejidal de Suchiapa,destino,Suchiapa,naturaleza,157,3.0,443,16.622918,-93.10287,
142,Panteon Municipal,destino,Suchiapa,naturaleza,77,3.6,149,16.620543,-93.099536,
143,Parque Municipal,destino,Suchiapa,naturaleza,70,4.0,123,16.621724,-93.104872,
144,Kiosko Central,destino,Suchiapa,naturaleza,107,2.2,261,16.621543,-93.104777,
145,Munumento a Corpus Crhisti,destino,Suchiapa,fotografia,4,1.4,98,16.619888,-93.10009,
146,Canchita del Panteon,destino,Suchiapa,naturaleza,197,2.4,592,16.620427,-93.0998,
147,Batshit Cave,destino,Palenque,naturaleza,96,3.9,219,17.390725,-91.998811,
148,Parque convivencia infantil,destino,Tuxtla Gutierrez,naturaleza,67,3.3,113,16.75866,-93.104155,
149,Steps (non-profit with workshops),destino,San Cristobal de las Casas,naturaleza,55,3.6,70,16.737972,-92.632649,
150,Camping Familiar,destino,Palenque,cultura,68,1.1,286,17.489283,-92.032733,
151,Cᴀᴍɪɴᴏ ᴀ ʟᴀ ᴘɪᴇᴅʀᴀ,destino,Huixtla,naturaleza,97,3.5,224,15.168418,-92.453994,
152,Isla de las Orquídeas,destino,La Independencia,naturaleza,126,2.0,329,16.104719,-91.668264,
153,Cueva del oso,destino,Tapachula,cultura,39,2.2,110,15.125425,-92.106342,
154,Parque Natural Monte Azul,destino,Tenosique,naturaleza,59,3.7,84,16.823708,-91.462921,
155,Placa de fundacion,destino,Huixtla,cultura,31,2.1,57,15.214312,-92.577188,
156,Monumento versiculo,destino,Huixtla,cultura,109,2.0,534,15.214474,-92.577344,
157,placa palacio municipal,destino,Huixtla,cultura,118,1.9,590,15.214272,-92.577437,
158,los comales,destino,Huixtla,fotografia,20,1.1,270,15.217315,-92.575559,
159,Estatua de Copoya,destino,Tuxtla Gutierrez,fotografia,34,1.1,430,16.71103,-93.110301,
160,Parque Central de El Jobo,destino,Tuxtla Gutierrez,naturaleza,51,2.1,54,16.704649,-93.106756,
161,Balneario,destino,Tapachula,descanso,120,3.2,307,15.039029,-92.170995,
162,Museo De La Marimba,destino,Tuxtla Gutierrez,cultura,105,1.4,509,16.755005,-93.12398,
163,Xamil Cascada y Balneario,destino,Ocosingo,descanso,184,2.4,541,17.2143,-92.108513,
164,Centro Ecoturistico Ara Macao las Guacamayas,destino,Las Margaritas,naturaleza,128,3.0,338,16.256991,-90.86141,
165,Lago Pojoj,destino,La Independencia,fotografia,2,1.2,80,16.103239,-91.672293,
166,Museo Mesoamericano del Jade,destino,San Cristobal de las Casas,cultura,105,1.4,514,16.741284,-92.635049,
167,Monumento de Trabajadores de CFE,destino,Pueblo Nuevo Solistahaucan,cultura,98,1.3,470,16.93762,-93.101332,
168,PARQUECITO 20 DE NOVIEMBRE,destino,Tapachula,naturaleza,142,2.3,388,14.976762,-92.265441,
169,Arco del tiempo,destino,Cintalapa,naturaleza,138,2.5,372,16.93881,-93.731467,
170,LAGOS DE MONTEBELLO,destino,La Independencia,naturaleza,147,2.5,405,16.110204,-91.700487,
171,Museo Cultural Tziscao,destino,La Independencia,cultura,56,2.1,210,16.087808,-91.666613,
172,Camping free,destino,Ocosingo,cultura,32,1.6,68,17.257023,-92.113377,
173,El Romerillo,destino,San Cristobal de las Casas,naturaleza,122,2.8,317,16.764129,-92.562988,
174,Mirador Lago El Caracol,destino,La Independencia,fotografia,21,0.5,284,16.108836,-91.680295,
175,embarcación en balsa,destino,La Independencia,naturaleza,56,3.3,73,16.119453,-91.727955,
176,Mirador,destino,La Independencia,fotografia,3,1.4,87,16.119976,-91.730748,
177,Misión Surf Mexico,destino,Tapachula,cultura,37,2.0,371,14.732903,-92.43399,
178,Grutas de Arcoton,destino,Las Margaritas,naturaleza,101,2.3,239,16.27945,-91.834305,
179,Parque Miguel Hidalgo,destino,Pijijiapan,naturaleza,169,2.7,486,15.692041,-93.209531,
180,"Parque ""La Villa Real"".",destino,San Cristobal de las Casas,naturaleza,182,2.1,537,16.747571,-92.651095,
181,Etéreo Taller,destino,San Cristobal de las Casas,cultura,70,2.2,299,16.736811,-92.644574,
182,STEPS nonprofit,destino,San Cristobal de las Casas,naturaleza,186,2.4,551,16.739538,-92.634017,
183,Marimba del Parque Chiapasiónate,destino,Tuxtla Gutierrez,cultura,72,1.2,308,16.743565,-93.071345,
184,Mural Laja Tendida,destino,Venustiano Carranza,fotografia,25,1.4,335,16.33723,-92.670051,
185,Mural Hombre del Maíz,destino,Venustiano Carranza,fotografia,48,1.2,582,16.337798,-92.670124,
186,Mural Miguel de Allende,destino,Venustiano Carranza,fotografia,7,0.9,137,16.336159,-92.670115,
187,Embarcadero Las Garzas,destino,Acapetahua,naturaleza,82,2.9,169,15.203818,-92.813804,
188,Rancho El Tesoro,destino,Tapachula,cultura,62,1.7,246,14.745767,-92.240303,
189,Plaza principal,destino,Yajalon,naturaleza,157,2.2,442,17.105286,-92.271446,
190,Lienzo Charro,destino,Yajalon,naturaleza,155,3.8,435,17.102433,-92.273483,
191,"Zona arqueológica Náchoj, Mukana y Nátentsun",destino,Yajalon,cultura,60,1.9,238,17.097134,-92.272159,
192,Monumento Parque Bicentenario,destino,Tuxtla Gutierrez,cultura,114,1.2,565,16.752921,-93.127902,
193,Gral. José María Morelos y Pavón,destino,Tuxtla Gutierrez,cultura,72,2.3,307,16.753711,-93.127576,
194,Mto. Edgar Robledo Santiago,destino,Tuxtla Gutierrez,cultura,118,2.2,592,16.754771,-93.127896,
195,Dr. Samuel León Brindis,destino,Tuxtla Gutierrez,cultura,103,1.2,499,16.754931,-93.127529,
196,Zeferino Nandayapa Ralda,destino,Tuxtla Gutierrez,cultura,53,1.3,190,16.755066,-93.123636,
197,Alberto Peña Rios,destino,Tuxtla Gutierrez,cultura,93,2.1,439,16.755722,-93.123594,
198,General Joaquin Miguel Gutierrez Canales,destino,Tuxtla Gutierrez,cultura,66,2.3,274,16.755154,-93.115522,
199,Jaime Sabines,destino,Tuxtla Gutierrez,fotografia,11,0.6,173,16.752655,-93.106471,
200,Salomón González Blanco,destino,Tuxtla Gutierrez,cultura,89,1.6,415,16.760665,-93.145721,
201,Árbol de Navidad,destino,Tuxtla Gutierrez,naturaleza,182,2.5,536,16.875242,-93.105448,
202,Cueva de los Colores,destino,Tuxtla Gutierrez,naturaleza,196,2.0,585,16.83705,-93.088108,
203,Puente Belisario Domínguez,destino,Chiapa de Corzo,naturaleza,189,3.1,559,16.742809,-93.034694,
204,Luis H. Álvarez Álvarez,destino,San Cristobal de las Casas,cultura,65,1.7,269,16.741492,-92.636131,
205,Hermilo Lopez Sanchez,destino,San Cristobal de las Casas,cultura,52,1.3,189,16.735298,-92.638762,
206,La Cueva del Oso Balu,destino,San Cristobal de las Casas,naturaleza,161,3.6,459,16.724589,-92.583342,
207,Grutas Golondrina,destino,San Cristobal de las Casas,naturaleza,59,2.8,84,16.670656,-92.584457,
208,Arqueologo Alberto Ruz Lhuillier,destino,Palenque,cultura,52,2.1,189,17.484132,-92.047111,
209,Parque,destino,Palenque,naturaleza,63,2.0,98,17.516447,-91.987898,
210,Centro Ecoturístico Wejlib-ha,destino,Palenque,naturaleza,73,3.3,134,17.371961,-91.803549,
211,Pakal,destino,Palenque,fotografia,38,0.6,476,17.508352,-91.989647,
212,José Menezes,destino,Amatenango del Valle,cultura,85,1.8,387,16.376278,-92.374892,
213,Tortuga,destino,Tonala,fotografia,25,1.3,331,15.932583,-93.809907,
214,"Campamento Tortuguero ""Boca del Cielo""",destino,Tonala,naturaleza,128,3.4,336,15.848977,-93.674781,
215,Cueva del Silencio,destino,Tuxtla Gutierrez,naturaleza,145,2.9,401,16.806741,-93.067633,
216,Cerro La Sombra,destino,Berriozabal,naturaleza,156,2.8,440,16.934662,-93.149841,
217,Balenario Jordan,destino,Ocosingo,cultura,35,1.6,84,16.821703,-91.672124,
218,Zak-Té,destino,Ocosingo,cultura,77,1.4,337,16.901315,-92.016219,
219,Mukul-Ton,destino,Ocosingo,cultura,118,1.3,591,16.89947,-92.012459,
220,Street art,destino,San Cristobal de las Casas,fotografia,23,0.7,306,16.741282,-92.634187,
221,Cononial,destino,San Cristobal de las Casas,fotografia,43,1.0,531,16.755073,-92.650624,
222,Palenque,destino,Palenque,naturaleza,65,2.2,107,17.50907,-91.980948,
223,Isla,destino,La Independencia,naturaleza,53,3.5,63,16.111392,-91.701418,
224,Mirador Lago Aqua Tinta,destino,La Independencia,fotografia,12,1.3,188,16.112367,-91.678378,
225,El paso. lancha a cooperativa el paraiso,destino,Tonala,naturaleza,186,2.8,551,15.845643,-93.659725,
226,Casa TatikWari,destino,San Cristobal de las Casas,naturaleza,50,4.0,52,16.670826,-92.634348,
227,Arco Del Tiempo,destino,Cintalapa,naturaleza,176,3.9,512,16.941215,-93.732391,
228,River View platform,destino,Palenque,fotografia,23,1.3,308,17.487611,-92.050024,
229,Hidden temple entrance under tree,destino,Palenque,cultura,104,2.0,502,17.486658,-92.051102,
230,Top platform,destino,Ocosingo,fotografia,22,0.7,302,17.254149,-92.114604,
231,Lu'um Taller de Ceramica,destino,Comitan de Dominguez,cultura,41,2.4,417,16.332549,-92.078123,
232,Gruta Sak Tenam,destino,La Independencia,naturaleza,86,3.0,183,16.121141,-91.672842,
233,Aluxes Ecopark,destino,Palenque,naturaleza,160,2.9,963,17.501875,-92.015549,
234,Temple sacrificiel Maya,destino,Tenosique,cultura,31,2.4,58,16.736772,-91.113238,
235,Parque de los tamarindos,destino,Tuxtla Gutierrez,naturaleza,172,2.7,500,16.744803,-93.159776,
236,Arco del Carmen,destino,San Cristobal de las Casas,naturaleza,52,3.7,59,16.733862,-92.638265,
237,Cenote de Chukumaltic,destino,La Trinitaria,fotografia,35,0.9,444,16.121105,-92.168948,
238,Arco Carmen,destino,San Cristobal de las Casas,cultura,102,1.3,495,16.734038,-92.638284,
239,Embarcadero Chiapa de Corzo,destino,Chiapa de Corzo,fotografia,20,1.4,275,16.709499,-93.023766,
240,La Grutas,destino,San Cristobal de las Casas,naturaleza,111,2.9,274,16.724734,-92.583803,
241,Aqua Azul,destino,Ocosingo,fotografia,5,0.6,108,17.252643,-92.115418,
242,Área de natación,destino,Ocosingo,naturaleza,96,3.1,220,17.256643,-92.114571,
243,Acceso al Parque Natural El Encuentro,destino,San Cristobal de las Casas,naturaleza,100,3.2,604,16.733715,-92.614867,
244,jaltenango de la paz,destino,Angel Albino Corzo,cultura,76,2.0,334,15.866545,-92.725212,
245,Noh K'uh,destino,Tenosique,cultura,71,1.1,303,17.103873,-91.619645,
246,La Punta,destino,Tenosique,cultura,103,1.4,497,17.120974,-91.632716,
247,Tzunun,destino,Tenosique,cultura,87,2.1,401,17.117219,-91.624369,
248,Tz'ib'ana,destino,Tenosique,cultura,101,1.9,487,17.125682,-91.629968,
249,Munic Ná,destino,Tenosique,cultura,83,2.4,376,17.129749,-91.636838,
250,Xtabay,destino,Tenosique,cultura,79,1.2,355,17.128206,-91.63708,
251,Chak Ak Tun,destino,Tenosique,cultura,82,2.2,370,17.125701,-91.636586,
252,Kuh Nabaat,destino,Tenosique,cultura,95,1.6,447,17.125869,-91.621536,
253,Kakoch,destino,Tenosique,cultura,36,1.9,89,17.135904,-91.634681,
254,Mensabak,destino,Tenosique,cultura,90,1.1,417,17.13788,-91.638966,
255,Sakapuk,destino,Tenosique,cultura,85,2.1,390,17.120791,-91.615847,
256,Sak Tat,destino,Tenosique,cultura,57,1.6,216,17.11872,-91.612288,
257,Kinbor,destino,Tenosique,cultura,72,1.6,307,17.112372,-91.613804,
258,Joton K'ak,destino,Tenosique,cultura,51,2.1,181,17.110396,-91.610484,
259,Aj Chaj Chi,destino,Tenosique,cultura,86,2.3,396,17.111954,-91.614958,
260,Talismán,destino,Tapachula,naturaleza,132,3.9,353,14.960057,-92.151446,
261,Tuxtla Chico Chiapas,destino,Tapachula,naturaleza,144,2.5,396,14.912143,-92.197648,
262,Col. 16 de Septiembre,destino,Tapachula,fotografia,4,0.6,101,14.897224,-92.260252,
263,Three Monkeys,destino,San Cristobal de las Casas,fotografia,10,1.2,169,16.741731,-92.63325,
264,Museo IK,destino,Palenque,cultura,87,1.5,402,17.508757,-91.980331,
265,Espacio Taxcalate,destino,San Cristobal de las Casas,descanso,74,1.3,324,16.740289,-92.632947,
266,Balneario Rebeldia,destino,Las Margaritas,descanso,72,1.2,310,16.688376,-92.01822,
267,Arbol Gigante,destino,Chiapa de Corzo,naturaleza,66,3.8,108,16.7061,-93.017457,
268,Museo De Laca,destino,Chiapa de Corzo,cultura,40,1.4,114,16.706349,-93.018031,
269,Museo Franco Lázaro Gómez,destino,Chiapa de Corzo,cultura,31,1.7,57,16.706193,-93.017809,
270,Mirador Madrón,destino,San Cristobal de las Casas,fotografia,6,0.7,120,16.732354,-92.603326,
271,Centro Ecoturístico Cascadas El Chiflón,destino,Tzimol,naturaleza,133,4.0,355,16.188781,-92.275231,
272,Parque Ecoturístico El Arcotete,destino,San Cristobal de las Casas,naturaleza,199,3.5,599,16.725721,-92.584872,
273,Parque Ecoturístico Cañón Río La Venta,destino,Jiquipilas,aventura,171,2.2,495,16.758652,-93.524994,
274,Centro Ecoturístico Cascada El Chorreadero,destino,Chiapa de Corzo,naturaleza,184,2.6,541,16.75475,-92.971546,
275,Orquídeas Moxviquil,destino,San Cristobal de las Casas,naturaleza,101,2.5,606,16.754193,-92.633087,
